partner_id,name,email,company_id,source_partner_id
11589,UTILIC ENTERPRISE DMCC,a.abouzeid@utilicenterprise.com,3,2586
11173,Intiqaal Information Technology,a.benmertah@intiqaal.com,3,3276
11159,Innovative Digital Solutions,a.fouad@ids-eg.net,3,1709
11316,NOK Technology,a.kaffas@noktechnology.com,3,1747
10897,Bitsera Solutions,a.kamal@bitsera-solutions.com,3,1731
10813,Ahmed Mohamed Khalil,a.khalil3010@gmail.com,3,1738
11044,EJAF Technology,a.rabee@ejaftech.iq,3,2417
11378,Platinum,a.salama@platinum-org.com,3,1728
11403,Prototyping Technology,a.sherby@ptec.sa,3,3292
10837,Animatrix ERP Solutions Ltd,ab@animatrixafrica.com,3,2541
11204,KerningCode Inc,ab@kerningcode.com,3,1299
10809,Agile Consulting,abdalrahman.barakat@agilemena.com,3,2521
11024,Dynamic Horizon,abo@dynamichorizon.ma,3,2803
11200,Keen360 Inc,accounting@keen360.com,3,2161
10796,ACPEC SARL,acpec.info@gmail.com,3,2684
11469,Silver Touch Technologies Canada Limited,adarsh@silvertouch.com,3,1298
11170,Intelldigit solutions,adel@idsc-sa.com,3,3254
11257,Matt O'Bell Ltd,adeniran.adekola@mattobell.net,3,4226
10938,Click Theory,admin2@clicktheory.ca,3,1316
11028,Dynapps NV,admin@dynapps.be,3,1339
11195,Kaizen,admin@kaizen-sys.com,3,1748
11214,KOLA TECHNOLOGIES LIMITED,admin@kolapro.com,3,2549
11330,Odev Solutions,admin@odevsolutions.com,3,3141
11611,Websers Technology,admin@websers.ly,3,2604
11150,Indaws Business Solutions SL,administracion@indaws.es,3,3467
11510,STONES BUSINESS GROUP,administracion@stones.solutions,3,2707
11437,Rezolv,administratie@rezolv.be,3,1130
11488,"Smart Systems, C.A.",admon@smartsystems.com.ve,3,4088
10807,Affinity Business Suite,adnan.gulzar@affinitysuite.net,3,2906
11282,MYLABS DIGITAL NET SL,adrian.bernal@mylabs.es,3,3488
11022,Drysharks Consulting and trading LTD,advisors@broadmax.com.tr,3,3663
10829,Almnhj Almtwr LItalym Company,ahammed.kabeer@unicomerp.com,3,3299
11171,Intelligent Experts Technology (IET),ahmed.elnabawy@intelligent-experts.com,3,3250
11540,Tech Land,ahmed.saleh@techlandbs.com,3,1741
10997,"Devtouch!, UAB",aidas@devtouch.lt,3,2619
11494,Softprime Consulting Pvt Ltd,ajeet@softprimeconsulting.com,3,2322
10798,"Adaptapro, EIRL",aldomengoni@gmail.com,3,3066
11349,Openforce srl,alessandrocamilli@openforce.it,3,2471
10878,AVANGUARDIA TECH,alfredo.lopez@avanguardiatech.com,3,2710
11575,Trionex Private Limited,ali.aslam@trionex.pk,3,2920
11587,Upward Technologies,allam@upward.sa,3,3262
11534,Tarabut,alzewail@yahoo.com,3,1702
11117,Guidoo SRL,am@guidoo.be,3,1119
11635,شركة بلاتينوم مايند // Platinum Mind,amateen@platinum-mind.com,3,3293
11585,UNITIVA SRL,amministrazione@unitiva.it,3,2470
11420,QWERTY Software Solutions,amora@qwerty.co.cr,3,1479
11238,Litedoo,ander@litedoo.com,3,3835
10905,Blueback B.V.,anthony@blueback-office.com,3,1520
11475,Sinfony SA,antoine.ngo@sinfony.eu,3,2629
11427,RASCO GLOBAL SOLUTIONS (PRIVATE) LIMITED,aqeel.zahid@rascogs.net,3,2909
11243,LongRange Ltd.,arafla@longrangeltd.com,3,1727
11473,Sinergi Data Totalindo,arimatea@dynamic.co.id,3,2369
10832,Alpha Solusi Teknologi,aris@alphasoft.co.id,3,2375
10786,Aardug - RMO,arjan@aardug.eu,3,2836
11235,LINKS4ENGG INDIA PRIVATE LIMITED,arung@links4engg.com,3,2237
11486,Smartstream ERP Solutions Ltd.,ashish@smartstreamerp.com,3,1321
11228,Leaders Corporate Private Limited,asif.qureshi@leaderscorp.net,3,2917
11141,IBL-Unisys,asif.siddiqui@iblgrp.com,3,2921
11518,Synavos Solutions,ask@synavos.com,3,2916
11292,Navabrind IT Solutions Pvt Ltd,avas@navabrindsol.com,3,2223
10882,Axioma IT Solutions S.R.L,axel.diaz@axiomait.com,3,874
11188,IT SYS Corporation,ayman.rawy@itsyscorp.com,3,1693
11103,Global Business Solutions,azzouny@gbs-eg.com,3,1744
10942,CLOUDSCIENCE LABS PRIVATE LIMITED,badan@cloudsciencelabs.com,3,2246
10980,Cubicsoft LLC,batdelger@cubicsoft.mn,3,2790
11300,Net Skill Group SPRL,baudouin@netskill.be,3,1129
11012,Digizilla,bd.eg@digizilla.net,3,1712
11108,GOCONNEXT Company Limited,bds@goconnext.com,3,3613
11325,OBS Solutions,belgium@obs-solutions.com,3,1349
11375,"Piensom S.A., serving clients in Belize",belize@piensom.com,3,1185
10984,CyberPublicity,bparadis@cyberpublicity.com,3,1323
10874,ATSON,bramadan@atson.tech,3,3729
11337,Odovia Integration,brieuc@odovia.com,3,1359
11480,Smarten Technologies,buddha@smarten.com.np,3,2828
10932,Centrix Plus Integrated Solution,Burhan@centrixplus.com,3,2566
10808,AGBE Technology Solutions Private Limited,business@agbeindia.com,3,2243
11131,Historia Studio,business@historia.studio,3,1303
10903,BL Consulting LTD,byordanov@bl-consulting.net,3,1266
11624,ZABYCA Asociados  / MUNDO DIGITAL SMART CLICK,bzurita@zabyca.com,3,1637
11142,ICQ24,ccesa@icq24.com,3,16
11202,KELSIN GLOBAL CONSULTING,cdelacruz@kelsinglobal.com,3,2721
11049,Elyon Solutions International Inc.,celeste@elyon-solutions.com,3,3147
11361,Ouiddoo,charline@ouiddoo.fr,3,1910
11000,Digiduu S.r.l.,chiedi@digiduu.com,3,2469
11581,UCS OneDo AB,christian.rydkvist@ucsonedo.se,3,3551
11414,QMedia IT GmbH,christoph.fischer@qmedia.at,3,1057
11047,ELITUM DEVELOP S.A.,cjrivadeneira@elitumgroup.com,3,1641
11051,E & M SISTEMAS PERU S.A.C.,comercial@eymperu.net,3,3068
11089,Firefly software consulting S.A.S,comercial@firefly-e.com,3,1452
11147,ILIOS SISTEMAS LTDA,comercial@iliossistemas.com,3,1215
11366,"Parâmetro Global – Consultadoria Informática, S.A.",comercial@parametro.global,3,3179
11632,Zue SAS,comercial@zue.com.co,3,1457
11340,OKTEO,commerce-erp@okteo.fr,3,1914
10842,apik by OCI,commercial@apik.cloud,3,1901
